"filename", "language", "C++", "Python", "BibTeX", "LaTeX", "Log", "Markdown", "CUDA C++", "Typst", "XML", "HTML", "comment", "blank", "total"
"/home/lagranzhai/ojexercise/luogu/1110.cpp", "C++", 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 209
"/home/lagranzhai/ojexercise/luogu/1110t1.cpp", "C++", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 38
"/home/lagranzhai/ojexercise/luogu/1110t4.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46
"/home/lagranzhai/ojexercise/luogu/1113.cpp", "C++", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 58
"/home/lagranzhai/ojexercise/luogu/1155.cpp", "C++", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 131
"/home/lagranzhai/ojexercise/luogu/1197.cpp", "C++", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 107
"/home/lagranzhai/ojexercise/luogu/1198.cpp", "C++", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 74
"/home/lagranzhai/ojexercise/luogu/1215t5.cpp", "C++", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 206
"/home/lagranzhai/ojexercise/luogu/1216.cpp", "C++", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/home/lagranzhai/ojexercise/luogu/1220.cpp", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"/home/lagranzhai/ojexercise/luogu/1280.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 33
"/home/lagranzhai/ojexercise/luogu/1311.cpp", "C++", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 65
"/home/lagranzhai/ojexercise/luogu/1314.cpp", "C++", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 92
"/home/lagranzhai/ojexercise/luogu/1349.cpp", "C++", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 79
"/home/lagranzhai/ojexercise/luogu/1360.cpp", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"/home/lagranzhai/ojexercise/luogu/1361.cpp", "C++", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103
"/home/lagranzhai/ojexercise/luogu/1368.cpp", "C++", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 30
"/home/lagranzhai/ojexercise/luogu/1434.cpp", "C++", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 87
"/home/lagranzhai/ojexercise/luogu/1435.cpp", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 32
"/home/lagranzhai/ojexercise/luogu/1439.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 2, 52
"/home/lagranzhai/ojexercise/luogu/1462.cpp", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"/home/lagranzhai/ojexercise/luogu/1471.cpp", "C++", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 109
"/home/lagranzhai/ojexercise/luogu/1481.cpp", "C++", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 51
"/home/lagranzhai/ojexercise/luogu/1486.cpp", "C++", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 127
"/home/lagranzhai/ojexercise/luogu/1501.cpp", "C++", 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 150
"/home/lagranzhai/ojexercise/luogu/1516.cpp", "C++", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34
"/home/lagranzhai/ojexercise/luogu/1525.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 51
"/home/lagranzhai/ojexercise/luogu/1533.cpp", "C++", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 55
"/home/lagranzhai/ojexercise/luogu/1550.cpp", "C++", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 53
"/home/lagranzhai/ojexercise/luogu/1616.cpp", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"/home/lagranzhai/ojexercise/luogu/1631.cpp", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"/home/lagranzhai/ojexercise/luogu/1638.cpp", "C++", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 69
"/home/lagranzhai/ojexercise/luogu/1654.cpp", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/home/lagranzhai/ojexercise/luogu/1654_zlg.py", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/home/lagranzhai/ojexercise/luogu/1659.cpp", "C++", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 76
"/home/lagranzhai/ojexercise/luogu/1712.cpp", "C++", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103
"/home/lagranzhai/ojexercise/luogu/1758.cpp", "C++", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 37
"/home/lagranzhai/ojexercise/luogu/1776.cpp", "C++", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 66
"/home/lagranzhai/ojexercise/luogu/1802.cpp", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/home/lagranzhai/ojexercise/luogu/1865.cpp", "C++", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 68
"/home/lagranzhai/ojexercise/luogu/1886.cpp", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"/home/lagranzhai/ojexercise/luogu/1908.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 57
